transaction_id,date,month,household_id,region,province_city,family_size,dependent_count,monthly_net_income_php,income_class_assumption,housing_status,transport_profile,schooling_profile,transaction_type,cash_flow_direction,category,subcategory,merchant,description,amount_php,payment_method,channel,necessity_type,is_recurring,budget_category,budget_limit_php,budget_period,member_role,school_related,health_related,debt_related,savings_related,status,receipt_available,notes,outlier_flag,outlier_reason
FEM-PH-202505-0669,2025-05-10,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Connectivity,Internet,Converge,Internet,1499.0,Bank Transfer,Bill Payment,Need,Yes,Connectivity,1500.0,Monthly,Household,No,No,No,No,Paid,Yes,Budget Concern,No,None
FEM-PH-202509-0858,2025-09-13,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Utilities,Entertainment,Arcade,Entertainment,1467.0,GCash,Physical Store,Want,No,Lifestyle & Misc,3500.0,Irregular,Household,No,Yes,No,No,Paid,No,Paid On Time,No,None
FEM-PH-202509-0854,2025-09-29,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Lifestyle & Misc,Streaming,Netflix,Streaming,381.0,Bank Transfer,Physical Store,Want,No,Lifestyle & Misc,3500.0,Irregular,Father,No,No,No,No,Paid,No,School Requirement,No,None
FEM-PH-202407-0280,2024-07-28,2024-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Drinking Water,Meralco,Drinking Water,309.0,Maya,School,Need,No,Food,12000.0,Irregular,Father,No,No,No,No,Paid,No,Budget Concern,No,None
FEM-PH-202505-0665,2025-05-03,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Housing,Rent,Landlord,Rent,8000.0,GCash,Physical Store,Need,Yes,Housing,8000.0,Monthly,Household,No,No,No,No,Paid,Yes,Budget Concern,No,None
FEM-PH-202406-0243,2024-06-19,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,Fast Food,Mang Inasal,Fast Food,509.0,GCash,Bill Payment,Need,No,Food,12000.0,Irregular,Father,No,No,No,No,Paid,No,Unexpected Expense,No,None
FEM-PH-202401-0008,2024-01-20,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Debt Payment,Outflow,Debt/Loans,Loan Payment,GCash Loan,Loan Payment,2000.0,GCash,Bill Payment,Obligation,Yes,Debt/Loans,2000.0,Monthly,Mother,No,No,Yes,No,Paid,Yes,Paid On Time,No,None
FEM-PH-202505-0698,2025-05-27,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,School Snacks,Sari-Sari Store,School Snacks,523.0,Bank Transfer,Physical Store,Need,No,Food,12000.0,Irregular,Household,No,No,No,No,Paid,No,Price Increase Noticed,No,None
FEM-PH-202502-0552,2025-02-06,2025-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Tricycle Fare,Tricycle Driver,Daily Commute,63.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Father,No,No,No,No,Paid,No,No notes provided,No,None
FEM-PH-202507-0751,2025-07-20,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Debt Payment,Outflow,Debt/Loans,Loan Payment,GCash Loan,Loan Payment,2000.0,Cash,Bill Payment,Obligation,Yes,Debt/Loans,2000.0,Monthly,Mother,No,No,Yes,No,Paid,Yes,Budget Concern,No,None
Unknown,2025-10-12,2025-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Food,School Snacks,Sari-Sari Store,School Snacks,113.0,Cash,Online,Need,No,Food,12000.0,Irregular,Household,No,No,No,No,Paid,Yes,No notes provided,No,None
FEM-PH-202402-0077,2024-02-02,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Education,School Supplies,Local Bookstore,School Supplies,1217.0,Debit Card,Online,Need,No,Education,4000.0,Irregular,Household,No,No,No,No,Paid,Yes,No notes provided,Yes,Above category range
FEM-PH-202405-0183,2024-05-11,2024-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Expense,Outflow,Transportation,Bus/UV Fare,UV Express,Daily Commute,132.0,Cash,Physical Store,Need,No,Transportation,3500.0,Monthly,Father,No,No,No,No,Paid,No,No notes provided,No,None
FEM-PH-202403-0084,2024-03-29,2024-03,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000.0,Middle-Income Scenario For Academic Simulation,Renting,Public Commute + Occasional Tricycle,3 Dependent Children In Public School With Recurring Projects/Allowance,Income,Inflow,Income,Side Hustle,Occasional Side Hustle,Extra Income From Small Work,800.0,GCash,Online,Need,No,Income,45000.0,Irregular,Mother,No,No,No,No,Received,No,Extra Income Month,No,None
