transaction_id,transaction_date,month,household_id,region,province_city,family_size,dependent_count,monthly_net_income_php,income_class_assumption,housing_status,transport_profile,schooling_profile,transaction_type,cash_flow_direction,category,subcategory,merchant_or_source,description,amount_php,payment_method,channel,necessity_level,is_recurring,budget_category,monthly_budget_php,budget_period,member_role,school_related,health_related,debt_related,savings_related,status,receipt_available,notes
FEM-PH-202505-0669,2025-05-10,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Connectivity,Internet,Converge,Internet,1499,Bank Transfer,Bill Payment,Need,TRUE,Connectivity,1500,Monthly,Household,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Budget concern
FEM-PH-202509-0858,2025-09-13,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Utilities ,Entertainment,Arcade,Entertainment,1467,GCash,Physical Store,Want,FALSE,Lifestyle & Misc,3500,Irregular,Household,FALSE,Y,FALSE,FALSE,Paid,FALSE,Paid on time
FEM-PH-202509-0854,2025-09-29,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Lifestyle & Misc,Streaming,Netflix,Streaming,381,Bank Transfer,Physical Store,Want,FALSE,Lifestyle & Misc,3500,Irregular,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,School requirement
FEM-PH-202407-0280,2024-07-28,2024-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,Drinking Water,meralco,Drinking Water,309,Maya,School,Need,FALSE,Food,12000,Irregular,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Budget concern
FEM-PH-202505-0682,2024-02-30,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,"45,000",middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Allowance,Children Allowance,Weekly school allowance,319,Cash,School,Need,TRUE,Education,4000,Weekly,Child,TRUE,FALSE,FALSE,FALSE,paid,FALSE,
FEM-PH-202505-0665,2025-05-03,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Housing,Rent,Landlord,Rent,8000.00, GCash,Physical Store,Need ,TRUE,Housing,8000,Monthly,Household,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,Budget concern
FEM-PH-202406-0243,2024-06-19,2024-06,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense ,Outflow,Food,Fast Food,Mang Inasal,Fast Food,509,GCash,Bill Payment,Need,FALSE,Food,12000,Irregular,Father,FALSE,FALSE,FALSE,FALSE,Paid,FALSE,Unexpected expense
FEM-PH-202401-0008,2024-01-20,2024-01,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Debt Payment,Outflow,Debt/Loans,Loan Payment,GCash Loan,Loan Payment,2000,GCash,Bill Payment,Obligation,TRUE,Debt/Loans,2000,Monthly,Mother,FALSE,FALSE,TRUE,FALSE,Paid,TRUE,Paid on time
FEM-PH-202505-0698,2025-05-27,2025-05,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,School Snacks,Sari-sari Store,School Snacks,523,Bank Transfer,physical store,Need,FALSE,Food,12000,Irregular,Household,FALSE,FALSE,FALSE,FALSE,paid,FALSE,Price increase noticed
FEM-PH-202502-0552,2025-02-06,2025-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Transportation,tricycle fare,Tricycle Driver,Daily commute,63,Cash,Physical Store,Need,FALSE,Transportation,3500,Monthly,Father,FALSE,FALSE,false,FALSE,Paid,FALSE,
FEM-PH-202507-0751,2025-07-20,2025-07,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,"45,000",middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Debt Payment,Outflow,debt/loans,Loan Payment,GCash Loan,Loan Payment,2000,Cash,Bill Payment,Obligation,TRUE,Debt/Loans,2000,Monthly,Mother,false,FALSE,TRUE,FALSE,Paid ,TRUE,Budget concern
TEMP-MISSING-6,03/15/2025,2025-09,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,,Unknown,Arcade,Entertainment,,GCash,Physical Store,Want,FALSE,Lifestyle & Misc,3500,Irregular,Household,FALSE,Y,FALSE,FALSE,,FALSE,Paid on time
,2025-10-12,2025-10,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Food,School Snacks,Sari-sari Store,School Snacks,₱113,Cash,Online,Need,FALSE,Food,12000,Irregular,Household,FALSE,FALSE,FALSE,FALSE,Paid,TRUE,
FEM-PH-202402-0077,2024-02-02,2024-02,HH-PH-0001,Region III - Central Luzon,Bulacan / NCR commuter area,5,3,45000,middle-income scenario for academic simulation,Renting,Public commute + occasional tricycle,3 dependent children in public school with recurring projects/allowance,Expense,Outflow,Education,School Supplies,Local Bookstore,School Supplies,1217,Debit Card,Online,Need,FALSE,Education,4000,Irregular,Household,No,FALSE,FALSE,FALSE,Paid,TRUE,
