transaction_id,date,month,account_type,category,subcategory,merchant,amount_php,payment_method,necessity_type,status,budget_limit_php,notes
FEM-0001,2025-07-05,2025-07,Freelance,Entertainment,Gaming,Riot Games,1141.50,GCash,Want,Paid,3000,Budget concern
FEM-0002,2025-09-17,2025-09,Student,Food & Dining,Fast Food,McDonald's,164.00,Maya,Need,Paid,10000,Recurring bill
FEM-0003,2024-12-12,2024-12,Personal,Shopping,Personal Care,Watsons,1220.79,Maya,Want,Paid,6000,Promo/discount used
FEM-0004,2024-10-27,2024-10,Household,Food & Dining,Fast Food,McDonald's,403.56,GCash,Need,Paid,10000,Budget concern
FEM-0005,2024-08-02,2024-08,Personal,Food & Dining,Fast Food,Jollibee,-133.42,Credit Card,Need,Refunded,10000,
FEM-0006,2024-06-22,2024-06,Personal,Food & Dining,Restaurant,Samgyupsal House,537.82,GCash,Need,Paid,10000,One-time expense
FEM-0007,2024-08-13,2024-08,Personal,Utilities,Mobile Load,Globe,687.42,GCash,Need,Paid,7000,Promo/discount used
FEM-0008,2025-06-23,2025-06,Personal,Food & Dining,Groceries,Puregold,1964.53,Credit Card,Need,Paid,10000,Regular expense
FEM-0009,2025-03-09,2025-03,Personal,Shopping,Personal Care,Watsons,802.32,GCash,Want,Paid,6000,Budget concern
FEM-0010,2024-09-05,2024-09,Student,Entertainment,Travel/Leisure,Klook,6463.05,GCash,Want,Paid,3000,
FEM-0011,2024-01-12,2024-01,Personal,Entertainment,Gaming,Riot Games,2193.92,Debit Card,Want,Paid,3000,Recurring bill
FEM-0012,2024-11-13,2024-11,Personal,Food & Dining,Restaurant,Max's Restaurant,619.83,Bank Transfer,Need,Paid,10000,
FEM-0013,2024-01-11,2024-01,Personal,Shopping,Clothing,Uniqlo,1491.73,Bank Transfer,Want,Paid,6000,
FEM-0014,2024-12-24,2024-12,Household,Transportation,Jeepney/Bus Fare,Victory Liner,99.10,GCash,Need,Paid,4500,Regular expense
FEM-0015,2024-09-10,2024-09,Personal,Healthcare,Insurance,Insurance Provider,1490.19,BDO Online,Need,Paid,4000,Promo/discount used
FEM-0016,2025-04-28,2025-04,Personal,Education,Tuition/Fees,School Cashier,9833.47,Debit Card,Need,Paid,5000,One-time expense
FEM-0017,2025-09-09,2025-09,Personal,Shopping,Personal Care,Guardian,587.91,Cash,Want,Paid,6000,One-time expense
FEM-0018,2024-03-06,2024-03,Personal,Transportation,Jeepney/Bus Fare,Victory Liner,32.39,credit card,Need,Paid,4500,Promo/discount used
FEM-0019,2025-10-14,2025-10,Household,Transportation,Jeepney/Bus Fare,Jeepney Fare,86.35,Cash,Need,Pending,,
FEM-0020,2025-10-26,2025-10,Household,others,Repair/Maintenance,Repair Shop,5485.79,Cash,Mixed,Paid,3000,Promo/discount used
FEM-0021,2025-02-17,2025-02,Personal,Food & Dining,Cafe,But First Coffee,201.54,BDO Online,Need,Paid,10000,Budget concern
FEM-0022,2025-09-27,2025-09,Personal,Utilities,Electricity,Meralco,2659.35,Debit Card,Need,Paid,7000,Recurring bill
FEM-0023,2024-10-13,2024-10,Household,Entertainment,Gaming,Garena,1904.66,Cash,Want,Paid,3000,Budget concern
FEM-0024,2024-05-05,2024-05,Household,Utilities,Electricity,Meralco,,Bank Transfer,Need,Paid,7000,Regular expense
FEM-0025,2025-10-09,2025-10,Household,Transportation,Fuel,Phoenix,1803.90,Bank Transfer,Need,Pending,4500,Regular expense
FEM-0026,2024-11-10,2024-11,Personal,Transportation,Parking/Toll,Street Parking,58617.55,Debit Card,Need,Paid,4500,Budget concern
FEM-0027,2025-05-09,2025-05,Personal,Food & Dining,Groceries,,2511.94,Cash,Need,Paid,10000,Regular expense
FEM-0028,2024-02-09,2024-02,Household,Utilities,Mobile Load,DITO,217.88,Maya,Need,Paid,7000,One-time expense
FEM-0029,2025-02-04,2025-02,Personal,Savings,Investment,Bank Investment,11870.28,Cash,Savings,Paid,,
FEM-0030,2025-12-29,2025-12,Personal,Education,School Supplies,National Book Store,948.51,GCash,Need,Paid,5000,Regular expense
FEM-0031,2024-01-07,2024-01,Personal,Shopping,Online Shopping,TikTok Shop,3714.86,GCash,Want,Paid,6000,
FEM-0032,2025-10-12,2025-10,Student,Shopping,Clothing,Penshoppe,755.60,GCash,Want,Cancelled,6000,Promo/discount used
FEM-0033,2025-11-07,2025-11,Freelance,Transportation,Jeepney/Bus Fare,UV Express,54.13,BDO Online,Need,,4500,One-time expense
FEM-0034,2024-06-08,2024-06,Household,Transportation,Jeepney/Bus Fare,Victory Liner,134.48,Debit Card,Need,Paid,4500,Recurring bill
FEM-0035,2024-01-30,2024-01,Personal,Utilities,Mobile Load,Smart,473.05,Credit Card,Need,Paid,7000,One-time expense
FEM-0036,2024-05-19,2024-05,Personal,Transportation,Jeepney/Bus Fare,Public Transport,99.83,BDO Online,Need,Paid,4500,
FEM-0037,2024-03-26,2024-03,Student,Food & Dining,Groceries,,1972.02,Maya,Need,Paid,10000,Recurring bill
FEM-0038,2025-02-16,2025-02,Personal,Shopping,Personal Care,Guardian,462.20,Credit Card,Want,Paid,6000,Budget concern
FEM-0039,2024-05-06,2024-05,Student,Food & Dining,Restaurant,Samgyupsal House,702.64,Maya,Need,Paid,10000,Budget concern
FEM-0040,2024-09-12,2024-09,Personal,Savings,Investment,Bank Investment,6424.39,GCASH,Savings,Paid,8000,Promo/discount used
FEM-0041,2024-09-20,2024-09,Personal,Shopping,Personal Care,Salon,1619.75,Credit Card,Want,Paid,6000,
FEM-0042,2024-08-03,2024-08,Personal,Shopping,Personal Care,Salon,934.94,Credit Card,Want,Paid,6000,
FEM-0043,2025-04-23,2025-04,Personal,Entertainment,Travel/Leisure,Klook,7670.45,GCash,Want,Paid,3000,Recurring bill
FEM-0044,2025-08-30,2025-08,Personal,shopping,Personal Care,Salon,1130.34,Maya,Want,Pending,6000,One-time expense
FEM-0045,2025-05-01,2025-05,Personal,Savings,Investment,Maya Stocks,8402.00,BDO Online,Savings,Paid,8000,Promo/discount used
FEM-0046,2024-05-31,2024-05,Personal,Shopping,Gadgets/Accessories,Power Mac Center,5265.30,Cash,Want,Paid,6000,Regular expense
FEM-0047,2025-01-08,2025-01,Personal,Food & Dining,Groceries,Puregold,2254.95,Cash,Need,Paid,10000,Budget concern
FEM-0048,2024-05-24,2024-05,Personal,Savings,Investment,Bank Investment,10804.30,GCash,Savings,Pending,8000,Regular expense
FEM-0049,2025-11-08,2025-11,Personal,Healthcare,Dental,Dental Clinic,3363.62,Bank Transfer,Need,Paid,4000,One-time expense
FEM-0050,2025-02-03,2025-02,Household,Food & Dining,Restaurant,Samgyupsal House,652.18,Debit Card,Need,Paid,10000,Recurring bill
FEM-0051,2025-11-17,2025-11,Household,Education,Tuition/Fees,University Portal,10711.01,Cash,Need,Paid,5000,Recurring bill
FEM-0052,2025-12-19,2025-12,Household,Savings,Emergency Fund,Savings Account,3813.40,Bank Transfer,Savings,Paid,8000,
